Week,btc,bitcoin,cryptocurrency
11/1/2014,6,2,0
11/2/2014,5,2,0
11/3/2014,5,2,0
11/4/2014,5,2,0
11/5/2014,5,2,0
11/6/2014,5,2,0
11/7/2014,5,2,0
11/8/2014,5,2,0
11/9/2014,5,3,0
11/10/2014,5,3,0
11/11/2014,5,3,0
11/12/2014,5,3,0
11/13/2014,5,3,0
11/14/2014,5,3,0
11/15/2014,5,3,0
11/16/2014,5,2,0
11/17/2014,5,2,0
11/18/2014,5,2,0
11/19/2014,5,2,0
11/20/2014,5,2,0
11/21/2014,5,2,0
11/22/2014,5,2,0
11/23/2014,5,2,0
11/24/2014,5,2,0
11/25/2014,5,2,0
11/26/2014,5,2,0
11/27/2014,5,2,0
11/28/2014,5,2,0
11/29/2014,5,2,0
11/30/2014,5,2,0
12/1/2014,5,2,0
12/2/2014,5,2,0
12/3/2014,5,2,0
12/4/2014,5,2,0
12/5/2014,5,2,0
12/6/2014,5,2,0
12/7/2014,5,2,0
12/8/2014,5,2,0
12/9/2014,5,2,0
12/10/2014,5,2,0
12/11/2014,5,2,0
12/12/2014,5,2,0
12/13/2014,5,2,0
12/14/2014,6,2,0
12/15/2014,6,2,0
12/16/2014,6,2,0
12/17/2014,6,2,0
12/18/2014,6,2,0
12/19/2014,6,2,0
12/20/2014,6,2,0
12/21/2014,5,3,0
12/22/2014,5,3,0
12/23/2014,5,3,0
12/24/2014,5,3,0
12/25/2014,5,3,0
12/26/2014,5,3,0
12/27/2014,5,3,0
12/28/2014,6,2,0
12/29/2014,6,2,0
12/30/2014,6,2,0
12/31/2014,6,2,0
1/1/2015,6,2,0
1/2/2015,6,2,0
1/3/2015,6,2,0
1/4/2015,6,3,0
1/5/2015,6,3,0
1/6/2015,6,3,0
1/7/2015,6,3,0
1/8/2015,6,3,0
1/9/2015,6,3,0
1/10/2015,6,3,0
1/11/2015,6,3,0
1/12/2015,6,3,0
1/13/2015,6,3,0
1/14/2015,6,3,0
1/15/2015,6,3,0
1/16/2015,6,3,0
1/17/2015,6,3,0
1/18/2015,7,2,0
1/19/2015,7,2,0
1/20/2015,7,2,0
1/21/2015,7,2,0
1/22/2015,7,2,0
1/23/2015,7,2,0
1/24/2015,7,2,0
1/25/2015,6,2,0
1/26/2015,6,2,0
1/27/2015,6,2,0
1/28/2015,6,2,0
1/29/2015,6,2,0
1/30/2015,6,2,0
1/31/2015,6,2,0
